name,image,column,row
Hoiana Resort & Golf,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/%C4%90%E1%BB%93ng_Hoiana%20Resort%20%26%20Golf_I7.png,I,7
Anh Hoàng Ngọc,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/%C4%90%E1%BB%93ng_ANH%20HO%C3%80NG%20NG%E1%BB%8CC_A6.png,A,6
Bluesun Beach Hotel,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/%C4%90%E1%BB%93ng_Bluesun%20Beach%20Hotel_A7.png,A,7
Hoian Memories Land,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/%C4%90%E1%BB%93ng_Hoian%20Memories%20Land_B7.png,B,7
EVA AIR,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/%C4%90%E1%BB%93ng_EVA%20AIR_F7.png,F,7
Wyndham Grand KN Paradise Cam Ranh,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/%C4%90%E1%BB%93ng_Wyndham%20Grand%20KN%20Paradise%20Cam%20Ranh%20OCEANIC_L7.png,L,7
Nhà tài trợ Đồng hànhDiamond Sea Hotel,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/%C4%90%E1%BB%93ng%20H%C3%A0nh_Diamond%20Sea%20Hotel_C8.png,C,8
Diamond Sea Hotel,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/%C4%90%E1%BB%93ng%20H%C3%A0nh_Diamond%20Sea%20Hotel_C8.png,C,8
Ethiopian Airlines,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/%C4%90%E1%BB%93ng%20h%C3%A0nh_Ethiopian%20Airlines_L8.jpg,L,8
DLG HOTEL DANANG,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/%C4%90%E1%BB%93ng%20h%C3%A0nh_DLG%20HOTEL_K2.png,K,2
Tổng công ty cổ phần Dệt May Hòa Thọ Merriman,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/%C4%90%E1%BB%93ng%20h%C3%A0nh_T%E1%BB%95ng%20c%C3%B4ng%20ty%20c%E1%BB%95%20ph%E1%BA%A7n%20D%E1%BB%87t%20May%20H%C3%B2a%20Th%E1%BB%8D%20Merriman_L2.png,L,2
Vietnam Catholic Tours,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/%C4%90%E1%BB%93ng%20h%C3%A0nh_ORCHID%20-%20Vietnam%20Catholic%20Tours_M2.jpg,M,2
Bàn B2BAzerai La Residence Hue,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_Azerai%20La%20Residence%20Hue_B8.jpg,B,8
Azerai La Residence Hue,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_Azerai%20La%20Residence%20Hue_B8.jpg,B,8
Desert Harbour Tourism,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_DHT%20-%20Desert%20Harbour%20Tourism_B2.png,B,2
Công ty TNHH T20 Quyết Thắng - Khu du lịch sinh thái Hang Chỉ Huy,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_T20%20Hang%20Ch%E1%BB%89%20Huy_A1.png,A,1
SBH Hotels & Resorts Vietnam,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_SBH%20Hotels%20%26%20Resort_B1.jpg,B,1
The Empyrean Cam Ranh Beach Resort,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_The%20empyrean%20cam%20ranh_C1.png,C,1
Lumiere Boutique Vỹ Dạ,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_Lumiere%20boutique_D1.png,D,1
Cty TNHH Saigonese Tourist,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_Saigonese%20Tourist_E1.png,E,1
Bliss Hoi An Beach Resort & Wellness,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_Bliss%20Hoi%20An%20Beach%20Resort%20%26%20Wellness_F1.jpg,F,1
VINA PHU QUOC TRAVEL,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_VINA%20PHU%20QUOC%20TRAVEL_H1.png,H,1
ASIANA TRAVEL,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_ASIANA%20TRAVEL_I1.png,I,1
Công ty tnhh duy tân limousine,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_Duy%20T%C3%A2n%20Limousine_J1.jpg,J,1
Công ty TNHH EMIC TRAVEL,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_Travel%20Emic_K1.png,K,1
HUERITAGE CRUISE,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_HUERITAGE_L1.png,L,1
"Danang Marriott Resort & Spa, Non Nuoc Beach Villas",https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_Danang%20Marriot%20Resort_D8.png,D,8
Wyndham Soleil Danang,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_WYNDHAM%20SOLEIL_G1.jpeg,G,1
XE ĐIỆN FAIFO GOGREEN,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_FAIFO%20GO%20GREEN_K8.png,K,8
Wafaifo Resort Hoi An,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_Wafaifo%20Resort%20Hoi%20An_M7.png,M,7
Xe điện Phố cổ - HoiAnGO,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_HoianGo_M6.png,M,6
Rosamia hotel,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_ROSAMIA%20HOTEL_C6.jpg,C,6
"Legend Danang Golf Resort, Sheraton Grand Danang Beach Resort & SPA , Golden Sands Golf Resorta",https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_SHERATON%20GRANDS_A2.jpg,A,2
Trung tâm xúc tiến Du lịch Đà Nẵng,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_TTXT%20Du%20l%E1%BB%8Bch%20%C4%90N_F3.png,F,3
Le Pavillon Hospitality Hoi An Group,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_Le%20Pavillon_Hospitality_Group_M4.png,M,4
Viet Legend,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_VIET%20LEGEND_I3.png,I,3
Nhà hàng Ấn,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_nh%C3%A0%20h%C3%A0ng%20%E1%BA%A5n_M8.jpg,M,8
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MINH TOÀN - KHÁCH SẠN MINH TOÀN GALAXY,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_MINHTOAN%20GALAXY_E3.png,E,3
Visit Indochina,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B2B_Visit%20Indochina_M3.png,M,3
